step,iteration,global_step,reward/mean,reward/std,perf/fps,perf/gpu_mem_mb,loss/policy,loss/value,loss/entropy,loss/aux,loss/approx_kl,train/lr
122880,10,122880,-6.703101374376443,0.6910003132480567,12970.437056473547,100,0.33307748287916183,0.14446071535348892,52.526713371276855,0.0,3.0557154417037964,1e-05
245760,20,245760,-6.718611051613771,0.6985472266242898,15370.019654331172,100,0.31430189311504364,0.14521430060267448,52.53203773498535,0.0,2.990624725818634,1e-05
368640,30,368640,-6.687071747682532,0.700149358598463,15387.965710669827,100,0.33389317244291306,0.12236717902123928,52.537527084350586,0.0,2.9459056854248047,1e-05
491520,40,491520,-6.666818838818769,0.6981681634185755,15356.993539018697,100,0.3032521456480026,0.11038264445960522,52.54161834716797,0.0,2.8053523898124695,1e-05
614400,50,614400,-6.60633077763756,0.7125633550835447,15315.13736704159,100,0.30529746413230896,0.10279318690299988,52.54604530334473,0.0,2.9253665804862976,1e-05
614400,,,,,,,,,,,,,-5.412949603992504
737280,60,737280,-6.371786011544998,0.8310060518264771,13665.95494411181,100,0.3278895765542984,0.09459039755165577,52.55017852783203,0.0,3.039179503917694,1e-05,
860160,70,860160,-6.214598301835976,0.7145382416127987,15253.24863582417,100,0.6023359075188637,0.08380799368023872,52.554067611694336,0.0,3.9946022033691406,1e-05,
983040,80,983040,-5.9526891278513645,0.7138597273535772,15238.1035530153,100,0.33343828469514847,0.07667780108749866,52.55849266052246,0.0,3.3595672249794006,1e-05,
1105920,90,1105920,-5.6800275029301925,0.5858490960410435,15152.98428655317,100,0.29902486503124237,0.06603986211121082,52.563201904296875,0.0,3.4056026935577393,1e-05,
1228800,100,1228800,-5.4472135085517195,0.45685108451192874,15081.753015188442,100,0.31961262971162796,0.057368265464901924,52.567044258117676,0.0,3.7638626098632812,1e-05,
1228800,,,,,,,,,,,,,-4.667674550470316
1351680,110,1351680,-5.311543610222336,0.3840254761952258,13958.620244069714,100,0.2997136861085892,0.05234321765601635,52.57110118865967,0.0,3.7718194723129272,1e-05,
1474560,120,1474560,-5.235152368558389,0.24505129149320307,14710.579293837154,100,0.30148499459028244,0.04816106893122196,52.57521629333496,0.0,3.699171304702759,1e-05,
1597440,130,1597440,-5.1920199450936915,0.2154750157546565,14903.763880247894,100,0.3533474951982498,0.04418209567666054,52.57905387878418,0.0,3.7859124541282654,1e-05,
1720320,140,1720320,-5.168702515148076,0.19250381206376158,14967.131027427027,100,0.27722882479429245,0.042381578125059605,52.58368968963623,0.0,3.813137173652649,1e-05,
1843200,150,1843200,-5.14572774986523,0.18502268864926943,14943.08336607896,100,0.31438498944044113,0.03981179557740688,52.588619232177734,0.0,3.728044033050537,1e-05,
1843200,,,,,,,,,,,,,-4.609938412904739
1966080,160,1966080,-5.127430733661628,0.24287444414153464,14045.861135574823,100,0.3443981856107712,0.036928591318428516,52.59329605102539,0.0,3.4494394659996033,1e-05,
2088960,170,2088960,-5.110626962039851,0.1598351953350709,14855.523472684046,100,0.32026948034763336,0.034985718317329884,52.59828853607178,0.0,3.6307308673858643,1e-05,
2211840,180,2211840,-5.094211095795596,0.15146442948193037,14809.960964794984,100,0.31707869470119476,0.03220332134515047,52.60302448272705,0.0,3.860529065132141,1e-05,
2334720,190,2334720,-5.083686559357329,0.14319072651690315,14766.914499630295,100,0.27936095744371414,0.028669643215835094,52.606727600097656,0.0,3.7138392329216003,1e-05,
2457600,200,2457600,-5.075171785222652,0.13916680472604082,14774.705680977791,100,0.38715678453445435,0.02823760872706771,52.611294746398926,0.0,3.6452001333236694,1e-05,
2457600,,,,,,,,,,,,,-4.655861593928992
