step,iteration,global_step,reward/mean,reward/std,perf/fps,perf/gpu_mem_mb,loss/policy,loss/value,loss/entropy,loss/aux,loss/approx_kl,train/lr
122880,10,122880,-6.411870319151058,0.6175283833363736,11590.586067807064,188,0.3251742646098137,0.21664749458432198,52.54174995422363,0.0,3.1112977862358093,1e-05
245760,20,245760,-6.304850009049451,0.6570834874366144,13355.69722699253,188,0.33763549476861954,0.1674288883805275,52.547555923461914,0.0,3.0129722952842712,1e-05
368640,30,368640,-6.176972968820292,0.6429552334927495,13221.427544357919,188,0.360720656812191,0.1272752694785595,52.55238056182861,0.0,3.091233730316162,1e-05
491520,40,491520,-6.076295392957427,0.6665190595492123,13271.803835992525,188,0.3020530864596367,0.10635453835129738,52.55649662017822,0.0,2.8848358392715454,1e-05
614400,50,614400,-5.959121188369452,0.6477609641331944,13175.404740190876,188,0.29562216997146606,0.08504713512957096,52.56171417236328,0.0,2.964641273021698,1e-05
614400,,,,,,,,,,,,,-4.844028142782358
737280,60,737280,-5.7118032871633595,0.6205465331638342,11893.381587815915,188,0.3081437796354294,0.0770634226500988,52.56736469268799,0.0,2.955129861831665,1e-05,
860160,70,860160,-5.609832092189959,0.5281906404519244,13062.337744900738,188,0.2796093001961708,0.06466472521424294,52.572166442871094,0.0,2.960474133491516,1e-05,
983040,80,983040,-5.47009437374002,0.44972060234110567,12957.18581658534,188,0.2912757508456707,0.05356649961322546,52.57670593261719,0.0,2.8941210508346558,1e-05,
1105920,90,1105920,-5.317923100437053,0.38276854020195117,12982.575973774292,188,0.24999700114130974,0.04307231865823269,52.58195209503174,0.0,2.859470248222351,1e-05,
1228800,100,1228800,-5.187230310411252,0.3002742209435838,12938.300193644198,188,1.1586754582822323,0.04065997712314129,52.587252616882324,0.0,3.253694236278534,1e-05,
1228800,,,,,,,,,,,,,-4.412147413281834
1351680,110,1351680,-5.081225505303576,0.310674123520405,12012.028609821542,188,0.25483788549900055,0.03674723766744137,52.591763496398926,0.0,2.754670262336731,1e-05,
1474560,120,1474560,-5.106060876390301,0.2633119361628425,12878.93765197337,188,0.23780514672398567,0.03625878691673279,52.59704780578613,0.0,2.6230664253234863,1e-05,
1597440,130,1597440,-5.087210730921471,0.24821497669864526,12857.162880514363,188,0.2282675765454769,0.03435090649873018,52.6019868850708,0.0,2.4900654554367065,1e-05,
1720320,140,1720320,-5.089917951317397,0.2449933778188141,12874.80964658828,188,0.2795731760561466,0.0293438034132123,52.60705280303955,0.0,2.494932234287262,1e-05,
1843200,150,1843200,-5.06722668745497,0.23509540381434496,12875.215863106185,188,0.2518964633345604,0.031017065979540348,52.61223220825195,0.0,2.3537267446517944,1e-05,
1843200,,,,,,,,,,,,,-4.2836047352684865
1966080,160,1966080,-5.04997419725218,0.28569187462140916,12014.398074772458,188,0.23935560137033463,0.02819326613098383,52.616976737976074,0.0,2.1439547538757324,1e-05,
2088960,170,2088960,-5.052984690228698,0.24566222435114796,12810.37496953971,188,0.21368886157870293,0.02663526777178049,52.62214660644531,0.0,2.1411913633346558,1e-05,
2211840,180,2211840,-5.047324714041759,0.25184634041632636,12846.123935980651,188,0.2243606224656105,0.02449285378679633,52.62728214263916,0.0,2.0435174703598022,1e-05,
2334720,190,2334720,-5.03127624267487,0.25558063824002564,12642.053724869435,188,0.23790333792567253,0.026230907533317804,52.631906509399414,0.0,1.9905709624290466,1e-05,
2457600,200,2457600,-5.0251309377466145,0.2877527713569011,12829.647802327327,188,0.22903470322489738,0.025068516843020916,52.6363000869751,0.0,2.00577175617218,1e-05,
2457600,,,,,,,,,,,,,-4.287698686557965
2580480,210,2580480,-4.999362373757104,0.30370295628248833,12181.675678118443,188,0.20320121198892593,0.024062483105808496,52.64150142669678,0.0,1.9718693494796753,1e-05,
2703360,220,2703360,-5.020431449856513,0.28940500353975407,12867.250272395071,188,0.2320021316409111,0.02575032413005829,52.64673328399658,0.0,1.8823320269584656,1e-05,
2826240,230,2826240,-5.014282423897973,0.28201544238240406,12839.23913401986,188,0.20416273921728134,0.022795526310801506,52.65204620361328,0.0,1.8802306652069092,1e-05,
2949120,240,2949120,-5.013314252448952,0.27854526555613074,12813.28682626714,188,0.20053839683532715,0.020699056796729565,52.65737438201904,0.0,1.6752730309963226,1e-05,
3072000,250,3072000,-5.033471712670006,0.28706502782786597,12727.212677467132,188,0.19939052686095238,0.020364532712846994,52.66243076324463,0.0,1.6772041618824005,1e-05,
3072000,,,,,,,,,,,,,-4.3285765057116485
3194880,260,3194880,-5.015225737623452,0.31551198005789194,12195.783703265852,188,0.18104806914925575,0.019928175024688244,52.66793155670166,0.0,1.7390278577804565,1e-05,
3317760,270,3317760,-5.030190519840575,0.2626768083363481,12861.724096548713,188,0.2133466750383377,0.02048815879970789,52.67317485809326,0.0,1.6725231111049652,1e-05,
3440640,280,3440640,-5.043620527644554,0.25680594932405,12811.246508728529,188,0.18751449510455132,0.0194480512291193,52.67825984954834,0.0,1.6800535023212433,1e-05,
3563520,290,3563520,-5.068799887006975,0.259095877331492,12925.320658230352,188,0.19499512761831284,0.01721867872402072,52.68370819091797,0.0,1.609966516494751,1e-05,
3686400,300,3686400,-5.078359287060739,0.24294887111303232,12832.684092342746,188,0.1694718934595585,0.015457909787073731,52.68913650512695,0.0,1.543582409620285,1e-05,
3686400,,,,,,,,,,,,,-4.354411503928048
3809280,310,3809280,-5.069029635765353,0.28126117865979167,12093.494535477454,188,0.19007275998592377,0.015822418499737978,52.6950798034668,0.0,1.5478753447532654,1e-05,
3932160,320,3932160,-5.100174488930343,0.22988210950456056,12839.265041391998,188,0.16657212376594543,0.01584144472144544,52.70076942443848,0.0,1.3927654325962067,1e-05,
4055040,330,4055040,-5.133649318350664,0.24484025213814473,12864.848804925323,188,0.17708836868405342,0.014373546466231346,52.70623016357422,0.0,1.3157921433448792,1e-05,
4177920,340,4177920,-5.1528543626265435,0.24756898187039772,12841.58817420751,188,0.15957221388816833,0.01489005284383893,52.71174144744873,0.0,1.2277843058109283,1e-05,
4300800,350,4300800,-5.1726969329015695,0.2501610658179208,12838.09195805484,188,0.15383141860365868,0.015876999823376536,52.71626853942871,0.0,1.1535902619361877,1e-05,
4300800,,,,,,,,,,,,,-4.4223142351422995
4423680,360,4423680,-5.166485377831822,0.29813191207514245,12104.341617088943,188,0.1450377181172371,0.013657138915732503,52.72154426574707,0.0,1.1785736083984375,1e-05,
